Uniq Id,Crawl Timestamp,Bb Category,Product Title,Product Description,Brand,Quantity Or Pack Size,Mrp,Price,Site Name,Offers,Combo Offers,Stock Availibility,Image Url,Url
amzn_00000,2024-01-01 00:00:00,Books,Echo Dot 15,This is a synthetic description for Echo Dot 15.,Echo,4 pack,1824,1804,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00001,2024-01-01 00:01:00,Beauty,Kindle E-Reader 88,This is a synthetic description for Kindle E-Reader 88.,Kindle,4 pack,971,948,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00002,2024-01-01 00:02:00,Household,Fire Stick 30,This is a synthetic description for Fire Stick 30.,Happy Belly,2 pack,1315,1295,amazon_com,Limited time deal,nan,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00003,2024-01-01 00:03:00,Kitchen,Echo Dot 89,This is a synthetic description for Echo Dot 89.,Amazon Basics,3 pack,1182,1141,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00004,2024-01-01 00:04:00,Kitchen,Kindle E-Reader 55,This is a synthetic description for Kindle E-Reader 55.,Fire TV,4 pack,1628,1498,amazon_com,Limited time deal,nan,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00005,2024-01-01 00:05:00,Groceries,Amazon Product 39,This is a synthetic description for Amazon Product 39.,Solimo,4 pack,700,641,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00006,2024-01-01 00:06:00,Electronics,Solimo Essential 53,This is a synthetic description for Solimo Essential 53.,Solimo,4 pack,191,177,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00007,2024-01-01 00:07:00,Beauty,Happy Belly Snack 81,This is a synthetic description for Happy Belly Snack 81.,Fire TV,2 pack,1995,1864,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00008,2024-01-01 00:08:00,Kitchen,Solimo Essential 4,This is a synthetic description for Solimo Essential 4.,Happy Belly,1 pack,802,785,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product
amzn_00009,2024-01-01 00:09:00,Household,Happy Belly Snack 14,This is a synthetic description for Happy Belly Snack 14.,Happy Belly,3 pack,1375,1336,amazon_com,Limited time deal,nan,True,https://example.com/image.jpg,https://www.amazon.com/example-product
