bb category,product title,product description,brand,quantity or pack size,mrp,price,site name,offers,combo offers,stock availibility,image url,url,timestamp
Books,Echo Dot 15,This is a synthetic description for Echo Dot 15.,Echo,4 pack,1824,1804.0,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-11-01
Beauty,Kindle E-Reader 88,This is a synthetic description for Kindle E-Reader 88.,Kindle,4 pack,971,948.0,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2025-09-23
Household,Fire Stick 30,This is a synthetic description for Fire Stick 30.,Happy Belly,2 pack,1315,1295.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-08-17
Kitchen,Echo Dot 89,This is a synthetic description for Echo Dot 89.,Amazon Basics,3 pack,1182,1141.0,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-10-19
Kitchen,Kindle E-Reader 55,This is a synthetic description for Kindle E-Reader 55.,Fire TV,4 pack,1628,1498.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-08-07
Groceries,Amazon Product 39,This is a synthetic description for Amazon Product 39.,Solimo,4 pack,700,641.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-03-12
Electronics,Solimo Essential 53,This is a synthetic description for Solimo Essential 53.,Solimo,4 pack,191,177.0,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2025-11-03
Beauty,Happy Belly Snack 81,This is a synthetic description for Happy Belly Snack 81.,Fire TV,2 pack,1995,1864.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-10-26
Kitchen,Solimo Essential 4,This is a synthetic description for Solimo Essential 4.,Happy Belly,1 pack,802,785.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2025-10-09
Household,Happy Belly Snack 14,This is a synthetic description for Happy Belly Snack 14.,Happy Belly,3 pack,1375,1336.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-11-19
Household,Echo Dot 24,This is a synthetic description for Echo Dot 24.,Solimo,1 pack,863,804.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-06-08
Groceries,Amazon Product 89,This is a synthetic description for Amazon Product 89.,Amazon Basics,4 pack,1252,1145.0,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-09-24
Electronics,Kindle E-Reader 35,This is a synthetic description for Kindle E-Reader 35.,Amazon Basics,3 pack,1896,1856.0,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2025-09-10
Books,Solimo Essential 33,This is a synthetic description for Solimo Essential 33.,Happy Belly,4 pack,904,861.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2025-09-13
Electronics,Kindle E-Reader 47,This is a synthetic description for Kindle E-Reader 47.,Happy Belly,3 pack,1892,1888.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-07-01
Kitchen,Kindle E-Reader 9,This is a synthetic description for Kindle E-Reader 9.,Solimo,2 pack,991,915.0,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2023-06-15
Electronics,Fire Stick 96,This is a synthetic description for Fire Stick 96.,Fire TV,2 pack,584,562.0,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2025-11-21
Beauty,Echo Dot 36,This is a synthetic description for Echo Dot 36.,Kindle,4 pack,1962,1776.0,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2025-12-10
Household,Solimo Essential 45,This is a synthetic description for Solimo Essential 45.,Happy Belly,1 pack,1112,1107.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-09-22
Household,Fire Stick 89,This is a synthetic description for Fire Stick 89.,Happy Belly,1 pack,1508,1388.0,amazon_com,Limited time deal,10% Off with Coupon,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2024-11-27
Books,Echo Dot 3,This is a synthetic description for Echo Dot 3.,Happy Belly,4 pack,1534,1398.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2025-10-20
Beauty,Solimo Essential 44,This is a synthetic description for Solimo Essential 44.,Echo,2 pack,1795,1700.0,amazon_com,Limited time deal,,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2025-07-02
Kitchen,Amazon Product 58,This is a synthetic description for Amazon Product 58.,Fire TV,4 pack,1633,1595.0,amazon_com,Limited time deal,Buy 2 Get 1 Free,True,https://example.com/image.jpg,https://www.amazon.com/example-product,2025-09-25
